Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
1,41.878,-87.6741,10 King's College Rd,,Chicago,IL,60612,United States of America,Event,100 Black Men Health Expo at Malcolm X College,,,,09/21/2019,09/21/2019,10:00:00,14:00:00,09/21/2019 10:00:00 AM,09/21/2019 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_1,"(41.878, -87.6741)"
2,41.7046,-87.5353,10 King's College Rd,,Chicago,IL,60617,United States of America,Government,10th Ward Office,,,,10/28/2019,10/28/2019,9:00:00,14:00:00,10/28/2019 09:00:00 AM,10/28/2019 02:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_2,"(41.7046, -87.5353)"
3,41.818,-87.6438, 12 Hart House Cir,,Chicago,IL,60609,United States of America,Government,11th Ward - Taylor Lauridsen Park,,,,10/02/2019,10/02/2019,9:00:00,14:00:00,10/02/2019 09:00:00 AM,10/02/2019 02:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_3,"(41.818, -87.6438)"
4,41.8235,-87.683,Willcocks St,,Chicago,IL,60609,United States of America,Government,12th Ward - McKinley Park Fieldhouse,,,,10/16/2019,10/16/2019,10:00:00,14:00:00,10/16/2019 10:00:00 AM,10/16/2019 02:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_4,"(41.8235, -87.683)"
5,41.7749,-87.7284,110 Wellesley St W,,Chicago,IL,60629,United States of America,Government,13th Ward - West Lawn Park,,,,11/04/2019,11/04/2019,10:00:00,13:00:00,11/04/2019 10:00:00 AM,11/04/2019 01:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_5,"(41.7749, -87.7284)"
6,41.8062,-87.7174, Beverley St & McCaul Street,,Chicago,IL,60632,United States of America,Government,14th Ward - Polish Highlanders,,,,10/09/2019,10/09/2019,9:00:00,14:00:00,10/09/2019 09:00:00 AM,10/09/2019 02:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_6,"(41.8062, -87.7174)"
7,41.7772,-87.6645, 184 College St,,Chicago,IL,60636,United States of America,Government,15th Ward Office,,,,10/10/2019,10/10/2019,10:00:00,13:00:00,10/10/2019 10:00:00 AM,10/10/2019 01:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_7,"(41.7772, -87.6645)"
8,41.7808,-87.6487,35 St George St,,Chicago,IL,60621,United States of America,Government,16th Ward Office,,,,11/16/2019,11/16/2019,11:00:00,15:00:00,11/16/2019 11:00:00 AM,11/16/2019 03:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_8,"(41.7808, -87.6487)"
9,41.7508,-87.6573,40 St George St,,Chicago,IL,60620,United States of America,Government,17th Ward Office,,,,10/08/2019,10/08/2019,11:00:00,14:00:00,10/08/2019 11:00:00 AM,10/08/2019 02:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_9,"(41.7508, -87.6573)"
10,41.739,-87.6971, 170 College St #131,,Chicago,IL,60652,United States of America,Government,18th Ward - Hayes Park Gym,,,,10/17/2019,10/17/2019,10:00:00,14:00:00,10/17/2019 10:00:00 AM,10/17/2019 02:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_10,"(41.739, -87.6971)"
